text,labels
well i should probably get,1
looked like antlers i don't,1
i'm just wondering about the,1
sure Alright,0
things that invade that second,1
that's true or the ones,1
well i mostly listen to,1
uh what you call that,1
i do i go every,1
you know we need if,1
Let me interrupt you there,1
uh permits you know for,1
uh-huh.,0
[laughter-do] [laughter-you] believe that,1
and uh we can't deep,1
yeah ours were ours were,1
uh No doubt,0
oh.,0
she is she's the most,1
and so,1
even had some of them_1,1
yeah yeah it really was,1
[noise] i mean i think,1
oh well th[ey]- they had,1
from what i've heard that,1
Sorry but I have a,1
exactly exactly right,0
like in Garland they get,1
it's nice you can wear,1
yeah i mea[n]- you know,1
i mean,1
uh-huh that sounds interesting we've,1
now i agree with their,1
"Let me jump in, we",1
oh really,1
yeah it's uh having uh,1
doesn't sound like a lot,1
uh Alright,0
hi this is Lisa,1
so i I suppose that,1
they bring in half a,1
yeah even in Washington you,1
"Just a second, can I",1
rap,1
"Let’s not forget, we’ve already",1
"Hold on, let me jump",1
well considering the national budget,1
okay bye-bye,1
you know perhaps if we,1
so i i- predominantly wear,1
that's true and and i,1
[laughter] i don't have that,1
exactly.,0
uh i see what you mean so that,0
she had a fall and,1
ozone yeah ozo[ne]- ozone pollution,1
the Sherman facility we are,1
and because_1 our house payment,1
bubbling nicely you know the,1
yeah i know that's that's,1
we can't even well we're,1
you know [noise] and then,1
whether it won all kinds,1
i'm really particular about the,1
and people would leave me,1
all right,0
totally You're right,0
definitely Sounds good,0
finds out information about you,1
it had to be done,1
i think there's still some,1
the money that we used,1
typical thing that happens uh,1
oh okay,0
naw i can believe it,1
is that right well,1
oh yeah,0
but it wasn't too long,1
it wasn't necessarily you know,1
well that's good well that's,1
oh absolutely,0
we we don't we we,1
that's true,1
yeah pretty bad but we,1
yeah but uh i'm i,1
oh no i think yeah,1
that that is true i,1
me i'm in the legal,1
air pollution,1
all that kind of stuff,1
[vocalized-noise],1
[laughter] oh i mean you,1
and he was a real,1
he he [laughter-plays] on Murphy,1
yeah they might be or,1
you know uh now that,1
oh okay so it still,1
i don't know liquefy right,1
um let's see what did,1
as a as a westerner,1
you kn[ow]- [laughter] and i,1
no they did away with,1
oh yeah,0
yeah it's i[t's]- y[ou]- it's,1
Texas and uh,0
but still i work in,1
and they did aw[ay]- w[ent]-,1
"I disagree because, this doesn't",1
"Actually, this needs clarification",1
so on next night i,1
we had an existing IRA,1
comes yeah,0
yeah i got a call,1
a new solution we have,1
cold w[eather]-,1
possibly,1
but uh she has the,1
oh.,0
but the ozone i mean,1
"Sorry, but I have to",1
wonder if there'd be some,1
uh i would say about,1
[laughter] yeah,0
i think that's just pretty,1
i i like music that,1
uh twenty dollars a year,1
yeah a[nd]- and i mean,1
but we can do this,1
oh me neither me neither,1
um i- i- i think,1
yeah i've never had any uh,0
[noise] this is pretty uns[easonal]-,1
peddling products if i wanted,1
[laughter] yeah Marge i don't,1
